Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,10,Australia,5312,Area harvested,1717,"Cereals, Total",1961,1961,ha,8441623,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5419,Yield,1717,"Cereals, Total",1961,1961,hg/ha,10839,Fc,Calculated data
QC,Crops,10,Australia,5510,Production,1717,"Cereals, Total",1961,1961,tonnes,9149882,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5312,Area harvested,1717,"Cereals, Total",1962,1962,ha,9154626,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5419,Yield,1717,"Cereals, Total",1962,1962,hg/ha,12173,Fc,Calculated data
QC,Crops,10,Australia,5510,Production,1717,"Cereals, Total",1962,1962,tonnes,11143648,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5312,Area harvested,1717,"Cereals, Total",1963,1963,ha,9191184,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5419,Yield,1717,"Cereals, Total",1963,1963,hg/ha,12852,Fc,Calculated data
QC,Crops,10,Australia,5510,Production,1717,"Cereals, Total",1963,1963,tonnes,11812267,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5312,Area harvested,1717,"Cereals, Total",1964,1964,ha,9822032,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5419,Yield,1717,"Cereals, Total",1964,1964,hg/ha,13237,Fc,Calculated data
QC,Crops,10,Australia,5510,Production,1717,"Cereals, Total",1964,1964,tonnes,13001568,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5312,Area harvested,1717,"Cereals, Total",1965,1965,ha,9846764,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5419,Yield,1717,"Cereals, Total",1965,1965,hg/ha,9835,Fc,Calculated data
QC,Crops,10,Australia,5510,Production,1717,"Cereals, Total",1965,1965,tonnes,9684056,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,10,Australia,5312,Area harvested,1717,"Cereals, Total",1966,1966,ha,11504354,A,"Aggregate, may include official, semi-official, estimated or calculated data"
