Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","354464","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","314751","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","326123","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","338588","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","337240","E","Expert sources from FAO (including other divisions)"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","392912","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","330489","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","543309","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","285633","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","317961","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","237495","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","716831.6","Fb","Data obtained as a balance"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","342300","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","413300","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","423400","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","10","Australia","5510","Production","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","423400","Fm","Manual Estimation"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","731465.14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","730643.18","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","889972.7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","761294","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","628086.66","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","601973.32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","688933.55","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","537512.2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","863599.57","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","947913.61","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","1021000.09","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","1098287.05","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","1210757.05","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","1098521.25","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","1377809.34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5610","Import Quantity","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","1280705.89","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","84102.84","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","101526.79","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","82102.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","124387.76","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","110463.04","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","134796.86","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","10","Australia","5910","Export Quantity","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","173772.86","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
