Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2002","2002","tonnes","23466.28","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2003","2003","tonnes","2.32","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2004","2004","tonnes","31203.68","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2005","2005","tonnes","104253.48","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2006","2006","tonnes","64799.18","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2007","2007","tonnes","57299.6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2008","2008","tonnes","283023.01","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2009","2009","tonnes","81253.25","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2010","2010","tonnes","61646.49","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2011","2011","tonnes","154461.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2012","2012","tonnes","136781.3","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2013","2013","tonnes","61059.52","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2014","2014","tonnes","89040.49","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2015","2015","tonnes","62260.55","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2016","2016","tonnes","7.52","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5610","Import Quantity","4007","Ammonia, anhydrous","2017","2017","tonnes","33224.97","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5622","Import Value","4007","Ammonia, anhydrous","2002","2002","1000 US$","2819.4","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5622","Import Value","4007","Ammonia, anhydrous","2003","2003","1000 US$","10.63","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","10","Australia","5622","Import Value","4007","Ammonia, anhydrous","2004","2004","1000 US$","16274.57","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
