Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4007","Ammonia, anhydrous","2013","2013","tonnes","2065138","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4007","Ammonia, anhydrous","2014","2014","tonnes","2949707","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4007","Ammonia, anhydrous","2015","2015","tonnes","3666230","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4007","Ammonia, anhydrous","2016","2016","tonnes","3643558","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5510","Production","4007","Ammonia, anhydrous","2017","2017","tonnes","3825849","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFB","Fertilizers by Product","231","United States of America","5610","Import Quantity","4007","Ammonia, anhydrous","2002","2002","tonnes","5924491.24","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5610","Import Quantity","4007","Ammonia, anhydrous","2003","2003","tonnes","5306449.89","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5610","Import Quantity","4007","Ammonia, anhydrous","2004","2004","tonnes","6990894.92","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5610","Import Quantity","4007","Ammonia, anhydrous","2005","2005","tonnes","6380161.52","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5610","Import Quantity","4007","Ammonia, anhydrous","2006","2006","tonnes","5499870.12","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5610","Import Quantity","4007","Ammonia, anhydrous","2007","2007","tonnes","5703616.88","R","Estimated data using trading partners database"
"RFB","Fertilizers by Product","231","United States of America","5610","Import Quantity","4007","Ammonia, anhydrous","2008","2008","tonnes","6728761.88","R","Estimated data using trading partners database"
