Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","40.74","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","39.57","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","40.5","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","35.61","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","34.93","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","36.07","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","34.26","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","30.89","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","37.81","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","34.26","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","35.15","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","38.66","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","38.8","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","37.31","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","34.7","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","35.09","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2002","2002","kg/ha","44.81","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2003","2003","kg/ha","43.27","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2004","2004","kg/ha","42.83","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2005","2005","kg/ha","38.95","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2006","2006","kg/ha","40.39","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2007","2007","kg/ha","42.09","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2008","2008","kg/ha","33.85","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2009","2009","kg/ha","23.52","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2010","2010","kg/ha","31.72","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2011","2011","kg/ha","27.44","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2012","2012","kg/ha","27.62","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2013","2013","kg/ha","26.64","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2014","2014","kg/ha","26.02","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2015","2015","kg/ha","33.08","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2016","2016","kg/ha","32.92","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2017","2017","kg/ha","29.92","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2002","2002","kg/ha","8.96","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2003","2003","kg/ha","9.36","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2004","2004","kg/ha","9.92","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2005","2005","kg/ha","8.3","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2006","2006","kg/ha","9.1","Fc","Calculated data"
