Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1961","1961","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1962","1962","tonnes","1000","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1963","1963","tonnes","900","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1964","1964","tonnes","1100","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1965","1965","tonnes","1433","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1966","1966","tonnes","2963","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1967","1967","tonnes","2188","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1968","1968","tonnes","5233","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1969","1969","tonnes","32395","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1970","1970","tonnes","2130","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1971","1971","tonnes","920","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","10","Australia","5610","Import Quantity","1944","Cereals","1972","1972","tonnes","984","A","Aggregate, may include official, semi-official, estimated or calculated data"
