Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1961","1961","tonnes","746103","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1962","1962","tonnes","335428","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1963","1963","tonnes","387796","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1964","1964","tonnes","507178","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1965","1965","tonnes","296249","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1966","1966","tonnes","272218","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1967","1967","tonnes","262810","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1968","1968","tonnes","261704","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1969","1969","tonnes","322730","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1970","1970","tonnes","434208","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1971","1971","tonnes","352054","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1972","1972","tonnes","483680","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1973","1973","tonnes","252291","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1974","1974","tonnes","459555","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1975","1975","tonnes","401378","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1976","1976","tonnes","293672","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1977","1977","tonnes","329677","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1978","1978","tonnes","183461","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1979","1979","tonnes","215726","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1980","1980","tonnes","198763","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1981","1981","tonnes","200564","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1982","1982","tonnes","412850","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1983","1983","tonnes","599801","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1984","1984","tonnes","788731","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1985","1985","tonnes","1001444","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1986","1986","tonnes","1245264","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1987","1987","tonnes","1305820","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1988","1988","tonnes","1810606","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1989","1989","tonnes","2147152","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1990","1990","tonnes","2216929","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1991","1991","tonnes","2833786","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1992","1992","tonnes","3717544","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1993","1993","tonnes","4684070","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1994","1994","tonnes","7362579","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1995","1995","tonnes","4946944","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1996","1996","tonnes","4420166","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1997","1997","tonnes","5980452","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1998","1998","tonnes","5369597","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","1999","1999","tonnes","5634478","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2000","2000","tonnes","5091040","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2001","2001","tonnes","5721695","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2002","2002","tonnes","5014779","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2003","2003","tonnes","4108951","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2004","2004","tonnes","4310661","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2005","2005","tonnes","4220405","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2006","2006","tonnes","5342939","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2007","2007","tonnes","6151947","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2008","2008","tonnes","7067956","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2009","2009","tonnes","6083040","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2010","2010","tonnes","5693873","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2011","2011","tonnes","5527311","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2012","2012","tonnes","7553413","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2013","2013","tonnes","10030394","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2014","2014","tonnes","7998352","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TP","Crops and livestock products","231","United States of America","5610","Import Quantity","1944","Cereals","2015","2015","tonnes","7290763","A","Aggregate, may include official, semi-official, estimated or calculated data"
