MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20200825,AK,"520,299.67","62,281.80","4,801.06",0.00,0.00,0.00,2020-08-25,2020-08-31,1
20200818,AK,"537,584.80","44,996.67",0.00,0.00,0.00,0.00,2020-08-18,2020-08-24,1
20200811,AK,"537,584.80","44,996.67",0.00,0.00,0.00,0.00,2020-08-11,2020-08-17,1
20200804,AK,"537,584.80","44,996.67",0.00,0.00,0.00,0.00,2020-08-04,2020-08-10,1
20200728,AK,"552,029.80","30,551.67",0.00,0.00,0.00,0.00,2020-07-28,2020-08-03,1
20200721,AK,"552,029.80","30,551.67",0.00,0.00,0.00,0.00,2020-07-21,2020-07-27,1
20200714,AK,"552,029.80","30,551.67",0.00,0.00,0.00,0.00,2020-07-14,2020-07-20,1
20200707,AK,"550,076.85","32,504.62",0.00,0.00,0.00,0.00,2020-07-07,2020-07-13,1
20200630,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-06-30,2020-07-06,1
20200623,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-06-23,2020-06-29,1
20200616,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-06-16,2020-06-22,1
20200609,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-06-09,2020-06-15,1
20200602,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,1
20200526,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,1
20200519,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,1
20200512,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,1
20200505,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,1
20200428,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,1
20200421,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,1
20200414,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,1
20200407,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,1
20200331,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,1
20200324,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,1
20200317,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,1
20200310,AK,"582,581.47",0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,1
20200303,AK,"546,590.70","35,990.77",0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,1
20200225,AK,"546,590.70","35,990.77",0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,1
20200218,AK,"536,455.58","46,125.90",0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,1
20200211,AK,"526,074.18","56,507.29",0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,1
20200204,AK,"526,074.18","56,507.29",0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,1
20200128,AK,"526,074.18","56,507.29",0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,1
20200121,AK,"546,590.70","35,990.77",0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,1
