Commod_dsc,lon,lat,State,Area_ha,code,region,annual_temp,annual_rain,annual_solar,area,businesses,yield
grapes wine,142.191685431936,-34.135125131137,NSW,17.3113,109021178,Wentworth - Buronga,17.2724990844727,281.684600830078,18.7866992950439,2444.68,85.12,24.6
grapes wine,143.017375425338,-34.6359345347859,NSW,19.273,109021179,Wentworth-Balranald Region,16.9745807647705,328.097290039062,18.5225696563721,5065.87,77.02,20.11
grapes wine,145.072014636284,-35.3662418272161,NSW,6.30068,109031183,Deniliquin Region,16.3966693878174,387.207092285156,18.3068695068359,78.31,4.78,12.45
grapes wine,145.077359694561,-35.3661027263208,NSW,0.484796,109031183,Deniliquin Region,16.3966693878174,388.036895751953,18.3068695068359,78.31,4.78,12.45
grapes wine,146.034507754586,-34.1988047077496,NSW,18.3675,113011257,Griffith Region,16.5712509155273,423.740386962891,18.6613903045654,13795.06,206.06,15.79
grapes wine,146.07928495469,-34.1317257048776,NSW,72.6653,113011257,Griffith Region,16.4579200744629,425.662109375,18.5947399139404,13795.06,206.06,15.79
grapes wine,146.09692609576,-34.1336563990514,NSW,168.479,113011257,Griffith Region,16.4579200744629,425.662109375,18.5947399139404,13795.06,206.06,15.79
grapes wine,146.14659467343,-34.2727333620487,NSW,46.1449,113011257,Griffith Region,16.4129199981689,430.210998535156,18.6358604431152,13795.06,206.06,15.79
grapes wine,146.124051396399,-34.3281651939027,NSW,29.9793,113011257,Griffith Region,16.3441696166992,434.510192871094,18.6427707672119,13795.06,206.06,15.79
grapes wine,146.418944696842,-34.5697679507819,NSW,19.3636,113011258,Leeton,16.3549995422363,452.117309570312,18.4950199127197,1082.23,23.89,14.68
grapes wine,145.939594698424,-34.5319436074843,NSW,334.963,113011257,Griffith Region,16.3729190826416,436.958312988281,18.6056995391846,13795.06,206.06,15.79
grapes wine,146.041138749253,-34.3676344268683,NSW,51.6428,113011257,Griffith Region,16.3616695404053,432.600708007812,18.676700592041,13795.06,206.06,15.79
grapes wine,146.352492078995,-34.5301343074532,NSW,13.094,113011258,Leeton,16.3449993133545,447.411590576172,18.5306091308594,1082.23,23.89,14.68
grapes wine,146.359530502547,-34.5344436568386,NSW,3.90138,113011258,Leeton,16.3449993133545,447.411590576172,18.5306091308594,1082.23,23.89,14.68
grapes wine,146.029501599603,-34.3191688801661,NSW,15.9308,113011257,Griffith Region,16.3712501525879,431.743713378906,18.6867008209229,13795.06,206.06,15.79
grapes wine,146.040721348743,-34.3202053401057,NSW,10.5181,113011257,Griffith Region,16.3712501525879,431.743713378906,18.6867008209229,13795.06,206.06,15.79
grapes wine,146.061380637426,-34.3379551890935,NSW,11.5009,113011257,Griffith Region,16.3458309173584,432.600708007812,18.676700592041,13795.06,206.06,15.79
grapes wine,145.928255457093,-34.5261296471141,NSW,784.448,113011257,Griffith Region,16.3729190826416,436.958312988281,18.6056995391846,13795.06,206.06,15.79
grapes wine,146.021398084813,-34.3042892985604,NSW,100.749,113011256,Griffith (NSW),16.399169921875,430.366088867188,18.7042407989502,1967.23,38.68,15.12
grapes wine,146.006658847886,-34.2977510047215,NSW,198.056,113011256,Griffith (NSW),16.4066696166992,430.366088867188,18.7042407989502,1967.23,38.68,15.12
grapes wine,147.082028861278,-35.7428535096539,NSW,7.6862,109011175,Albury Region,14.0870800018311,754.447692871094,17.6136302947998,37.54,3.8,0.24
grapes wine,147.083481508411,-35.741013783415,NSW,0.533735,109011175,Albury Region,14.0870800018311,754.447692871094,17.6136302947998,37.54,3.8,0.24
grapes wine,148.880275700098,-33.1443522064666,NSW,22.0948,103041079,Orange Region,13.788330078125,750.026794433594,18.1488990783691,1305.98,24.58,7.94
grapes wine,149.020739007401,-33.2985425419085,NSW,7.00765,103041079,Orange Region,12.1824998855591,923.523986816406,17.8859100341797,1305.98,24.58,7.94
grapes wine,148.597234648868,-33.582393242328,NSW,29.1031,103021064,Cowra Region,15.9916696548462,604.426513671875,18.240909576416,368.37,3.2,11.12
grapes wine,148.567107388123,-33.640492189849,NSW,40.9389,103021064,Cowra Region,15.952919960022,615.356018066406,18.2912502288818,368.37,3.2,11.12
grapes wine,148.880797984268,-33.1482209364939,NSW,0.708325,103041079,Orange Region,13.788330078125,750.026794433594,18.1488990783691,1305.98,24.58,7.94
grapes wine,149.018051985393,-33.2988254498018,NSW,11.012,103041079,Orange Region,12.1824998855591,923.523986816406,17.8859100341797,1305.98,24.58,7.94
grapes wine,147.984113044019,-35.7537702319773,NSW,35.1181,113021260,Tumbarumba,12.4812498092651,1039.97497558594,16.9465293884277,192.09,9.41,8.55
grapes wine,148.006495929332,-35.7378174012083,NSW,3.13491,113021260,Tumbarumba,11.4108295440674,1039.97497558594,16.9465293884277,192.09,9.41,8.55
grapes wine,148.007698885844,-35.7407047475062,NSW,11.7229,113021260,Tumbarumba,11.4108295440674,1039.97497558594,16.9465293884277,192.09,9.41,8.55
